,crop_height,crop_width,epochs,height,hf,hl,image,is_cropped,lr,quantization_technique,seed,using_quantization,width
267,256,256,100000,512,12,7,cameramen,True,0.0001,,101,False,512
268,256,256,100000,512,12,7,cameramen,True,0.0001,,123,False,512
269,256,256,100000,512,12,7,cameramen,True,0.0001,,1234,False,512
270,256,256,100000,512,12,8,cameramen,True,0.0001,,0,False,512
271,256,256,100000,512,12,8,cameramen,True,0.0001,,42,False,512
272,256,256,100000,512,12,8,cameramen,True,0.0001,,101,False,512
273,256,256,100000,512,12,8,cameramen,True,0.0001,,123,False,512
274,256,256,100000,512,12,8,cameramen,True,0.0001,,1234,False,512
275,256,256,100000,512,12,9,cameramen,True,0.0001,,0,False,512
276,256,256,100000,512,12,9,cameramen,True,0.0001,,42,False,512
277,256,256,100000,512,12,9,cameramen,True,0.0001,,101,False,512
278,256,256,100000,512,12,9,cameramen,True,0.0001,,123,False,512
279,256,256,100000,512,12,9,cameramen,True,0.0001,,1234,False,512
280,256,256,100000,512,12,10,cameramen,True,0.0001,,0,False,512
281,256,256,100000,512,12,10,cameramen,True,0.0001,,42,False,512
282,256,256,100000,512,12,10,cameramen,True,0.0001,,101,False,512
283,256,256,100000,512,12,10,cameramen,True,0.0001,,123,False,512
284,256,256,100000,512,12,10,cameramen,True,0.0001,,1234,False,512
285,256,256,100000,512,12,11,cameramen,True,0.0001,,0,False,512
286,256,256,100000,512,12,11,cameramen,True,0.0001,,42,False,512
287,256,256,100000,512,12,11,cameramen,True,0.0001,,101,False,512
288,256,256,100000,512,12,11,cameramen,True,0.0001,,123,False,512
289,256,256,100000,512,12,11,cameramen,True,0.0001,,1234,False,512
290,256,256,100000,512,12,12,cameramen,True,0.0001,,0,False,512
291,256,256,100000,512,12,12,cameramen,True,0.0001,,42,False,512
292,256,256,100000,512,12,12,cameramen,True,0.0001,,101,False,512
293,256,256,100000,512,12,12,cameramen,True,0.0001,,123,False,512
294,256,256,100000,512,12,12,cameramen,True,0.0001,,1234,False,512
295,256,256,100000,512,12,13,cameramen,True,0.0001,,0,False,512
296,256,256,100000,512,12,13,cameramen,True,0.0001,,42,False,512
297,256,256,100000,512,12,13,cameramen,True,0.0001,,101,False,512
298,256,256,100000,512,12,13,cameramen,True,0.0001,,123,False,512
299,256,256,100000,512,12,13,cameramen,True,0.0001,,1234,False,512
300,256,256,100000,512,13,2,cameramen,True,0.0001,,0,False,512
301,256,256,100000,512,13,2,cameramen,True,0.0001,,42,False,512
302,256,256,100000,512,13,2,cameramen,True,0.0001,,101,False,512
303,256,256,100000,512,13,2,cameramen,True,0.0001,,123,False,512
304,256,256,100000,512,13,2,cameramen,True,0.0001,,1234,False,512
305,256,256,100000,512,13,3,cameramen,True,0.0001,,0,False,512
